Common Name,Scientific Name,Local Status,Order,Family,Text 1 Heading,Text 1 Body,Text 2 Heading,Text 2 Body,Text 3 Heading,Text 3 Body
Flathead Catfish,Pylodictis olivaris,Native,Fish,,Habitat,"Freshwater, benthic (lays on the bottom of a body of water)",Diet,"Smaller fish; juveniles feed on insects, crayfish",Fun Fact,"A female lays, on average, 100,000 eggs in a clutch."
Gizzard Shad,Dorosoma cepedianum,Native,Fish,,Habitat,Freshwater or brackish water,Diet,"Zooplankton, detritus",Fun Fact,"This fish does in fact have a ""gizzard"", an organ that helps it grind and break down food."
Largemouth Bass,Micropterus nigricans,Native,Fish,,Habitat,Freshwater,Diet,"Smaller fish, crayfish, amphibians, insects",Fun Fact,"True to its name, the Largemouth Bass can open its mouth wider than its head."
Pumpkinseed,Lepomis gibbosus,Native,Fish,,Habitat,Freshwater,Diet,"Crustaceans, insects, mollusks",Fun Fact,"This tiny fish features an ""eye spot"" that fools predators into thinking it's a much larger fish."
Redear Sunfish,Lepomis microlophus,Native,Fish,,Habitat,Freshwater,Diet,Mollusks,Fun Fact,"A special set of teeth enables them to crunch snail shells, hence the local nickname ""shallcrackers""."
Smallmouth Bass,Micropterus dolomieu,Native,Fish,,Habitat,Freshwater,Diet,"Smaller fish, crayfish, amphibians; sometimes small mammals",Fun Fact,These fish are extremely popular among anglers for their ability to put up a serious fight when hooked.
Striped Bass,Morone saxatilis,Native,Fish,,Habitat,"Anadromous (lives in saltwater, spawns in freshwater)",Diet,"Smaller fish, particularly shad, alewife and herring",Fun Fact,The largest Striped Bass ever recorded was caught in 1896 and weighed a whopping 124 pounds (56 kg).
White Perch,Morone americana,Native,Fish,,Habitat,"Anadromous (lives in saltwater, spawns in freshwater)",Diet,"Smaller fish, crustaceans, insects, worms, plants, etc.",Fun Fact,"A female can lay over 150,000 eggs in a clutch; often, multiple males will work to fertilize them all."
Yellow Perch,Perca flavescens,Native,Fish,,Habitat,Freshwater,Diet,"Smaller fish, crustaceans; juveniles feed on zooplankton",Fun Fact,Their eggs are laid in jelly-like strands that get draped around submerged structures or weeds.
Western Honey Bee,Apis mellifera,Native,Insects,,Habitat,"Grasslands, forests, farms, gardens",Diet,"Nectar, pollen",Fun Fact,"A bee hive may have as many as 50,000 individual bees living inside."
Eastern Tiger Swallowtail,Papilio glaucus,Native,Insects,,Habitat,"Forests, fields, gardens",Diet,Nectar,Fun Fact,"The first-ever known drawing of a butterfly in North America was of an eastern tiger swallowtail, drawn by John White in 1587 during a Virginia expedition. It's now the state insect of Virginia."
Eastern Hercules Beetle,Dynastes tityus,Native,Insects,,Habitat,Forests,Diet,"Fruit, sap; larvae eat rotting wood",Fun Fact,This beetle can supposedly lift and carry up to 850 times its own body weight.
American Dagger Moth,Acronicta americana,Native,Insects,,Habitat,Forests,Diet,Leaves,Fun Fact,It's unknown why moths circle around artificial lights; one hypothesis is that they mistake them for the moon and try to navigate against them.
Bufflehead,Bucephala albeola,Non-Native,Birds,,,,,,,
Canvasback,Aythya valisineria,Non-Native,Birds,,,,,,,
Red-breasted Merganser,Mergus serrator,Non-Native,Birds,,,,,,,
Snow Goose,Anser caerulescens,Non-Native,Birds,,,,,,,
Migrant Warbler,Setophaga virens,Non-Native,Birds,,,,,,,
Walleye,Sander vitreus,Non-Native,Fish,,Habitat,Freshwater,Diet,"Smaller fish, crayfish, amphibians, insects, etc.",Fun Fact,"Their name comes from their eyes, which are opaque in appearance thanks to a layer of tissue called ""tapetum lucidum"" that enhances low-light vision."
Monarch Butterfly,Danaus plexippus,Non-Native,Insects,,,,,,,
Spotted Lantern Fly,Lycorma delicatula,Invasive,,,,,,,,
Asian Lady Beetle,Harmonia axyridis,Invasive,,,,,,,,
Emerald Ash Borer,Agrilus planipennis,Invasive,,,,,,,,
Asian Clam,Corbicula fluminea,Invasive,,,,,,,,
Sericea Lespedeza,Lespedeza cuneata,Invasive,,,,,,,,
Autumn Olive,Elaeagnus umbellata,Invasive,,,,,,,,
Japanese Stilt Grass,Microstegium vimineum,Invasive,,,,,,,,
Chinese Privet,Ligustrum sinense,Invasive,,,,,,,,
